EXCHANGE,BASE,QUOTE
aofex,NU,AQ
aofex,NU,USDT
aofex,BADGER,AQ
aofex,BADGER,USDT
aofex,GRT,AQ
aofex,GRT,USDT
aofex,MW,USDT
aofex,OXT,AQ
aofex,OXT,USDT
aofex,API3,AQ
aofex,API3,USDT
aofex,WBTC,AQ
aofex,WBTC,USDT
aofex,LON,AQ
aofex,LON,USDT
aofex,1INCH,AQ
aofex,1INCH,USDT
aofex,GF,AQ
aofex,BOT,AQ
aofex,BOT,USDT
aofex,MATIC,AQ
aofex,MATIC,USDT
aofex,DODO,AQ
aofex,DODO,USDT
aofex,AUCTION,AQ
aofex,AUCTION,USDT
aofex,YAM,AQ
aofex,YAM,USDT
aofex,INJ,AQ
aofex,INJ,USDT
aofex,MASK,AQ
aofex,MASK,USDT
aofex,FCL,AQ
aofex,FCL,USDT
aofex,MIR,AQ
aofex,MIR,USDT
aofex,POND,AQ
aofex,POND,USDT
aofex,FLOW,AQ
aofex,FLOW,USDT
aofex,OXY,AQ
aofex,OXY,USDT
aofex,ANC,AQ
aofex,ANC,USDT
aofex,RLY,USDT
aofex,BANK,AQ
aofex,BANK,USDT
aofex,LPT,AQ
aofex,LPT,USDT
aofex,KINE,AQ
aofex,KINE,USDT
aofex,DORA,AQ
aofex,DORA,USDT
aofex,BR,USDT
aofex,STX,AQ
aofex,STX,USDT
aofex,FST,AQ
aofex,FST,USDT
aofex,SHOPX,AQ
aofex,SHOPX,USDT
aofex,BDP,AQ
aofex,BDP,USDT
aofex,TRIBE,AQ
aofex,TRIBE,USDT
aofex,FEI,USDT
aofex,JGN,AQ
aofex,JGN,USDT
aofex,MDX,AQ
aofex,MDX,USDT
aofex,THETA,AQ
aofex,THETA,USDT
aofex,NKN,AQ
aofex,NKN,USDT
aofex,SAKE,USDT
aofex,CAKE,AQ
aofex,CAKE,USDT
aofex,XVS,AQ
aofex,XVS,USDT
aofex,NGK,USDT
aofex,ETHA,USDT
aofex,DPR,USDT
aofex,VAL,USDT
aofex,BUNNY,AQ
aofex,BUNNY,USDT
aofex,SHIB,AQ
aofex,SHIB,USDT
aofex,AKITA,AQ
aofex,AKITA,USDT
aofex,BAMBOO,AQ
aofex,BAMBOO,USDT
aofex,XBT,AQ
aofex,XBT,USDT
aofex,APN,AQ
aofex,APN,USDT
aofex,CHZ,AQ
aofex,CHZ,USDT
aofex,FORTH,AQ
aofex,FORTH,USDT
aofex,QMC,USDT
aofex,XCH,USDT
aofex,ALPACA,AQ
aofex,ALPACA,USDT
aofex,LAVA,AQ
aofex,LAVA,USDT
aofex,ALICE,AQ
aofex,ALICE,USDT
aofex,XCH,AQ
aofex,PIG,USDT
aofex,CSPR,USDT
aofex,ICP,AQ
aofex,ICP,USDT
aofex,ETS,USDT
aofex,LAT,USDT
aofex,FEG,USDT
aofex,DOG,USDT
aofex,KISHU,USDT
aofex,METIS,USDT
aofex,DOGGY,USDT
aofex,BZZ,USDT
aofex,AXIS,USDT
aofex,BAKE,AQ
aofex,BAKE,USDT
aofex,CHR,AQ
aofex,CHR,USDT
aofex,AXS,AQ
aofex,AXS,USDT
aofex,QUICK,USDT
aofex,RUNE,AQ
aofex,RUNE,USDT
aofex,SOL,AQ
aofex,SOL,USDT
aofex,O3,AQ
aofex,O3,USDT
aofex,GTC,USDT
aofex,1INCH,BTC
aofex,1INCH,ETH
aofex,FIL,BTC
aofex,FIL,ETH
aofex,DOGESWAP,USDT
aofex,DOGESWAP,AQ
aofex,XEM,BTC
aofex,XEM,ETH
aofex,YFI,BTC
aofex,YFI,ETH
aofex,YFII,BTC
aofex,YFII,ETH
aofex,NFT,AQ
